row_id,000000:Organ (Musical Instrument),000001:Banjo,000002:Cello,000003:Drum,000004:French horn,000005:Guitar,000006:Harp,000007:Harpsichord,000008:Harmonica,000009:Musical keyboard,000010:Oboe,000011:Piano,000012:Saxophone,000013:Trombone,000014:Trumpet,000015:Violin,000016:Chime,000017:Flute,000018:Accordion,000019:Maraca
000000:Organ (Musical Instrument),1.00000000,0.46989068,0.58312625,0.48197886,0.48104146,0.57733786,0.49009451,0.54556906,0.47269350,0.57781577,0.36300668,0.60002542,0.58645946,0.52444029,0.52114737,0.62861085,0.34782040,0.49653286,0.49601513,0.29298595
000001:Banjo,0.46989068,1.00000012,0.63168323,0.54052597,0.50628233,0.56650162,0.49493584,0.52293581,0.42420921,0.53265744,0.50826114,0.62705088,0.60435575,0.54777598,0.50157177,0.58150160,0.39210820,0.55852264,0.50841814,0.37421912
000002:Cello,0.58312625,0.63168323,1.00000000,0.58919978,0.48835921,0.70396483,0.55116987,0.56649703,0.52641159,0.62082946,0.52298295,0.75462675,0.73295224,0.60792625,0.58578235,0.76421040,0.47702214,0.61744463,0.55172789,0.40665859
000003:Drum,0.48197886,0.54052597,0.58919978,1.00000000,0.48831314,0.63132727,0.52204311,0.49032432,0.45897466,0.59813333,0.47911459,0.64534086,0.55708742,0.59115058,0.62192130,0.60047090,0.46888638,0.62384146,0.48704165,0.37423813
000004:French horn,0.48104146,0.50628233,0.48835921,0.48831314,1.00000024,0.47514334,0.54668689,0.52444690,0.48710039,0.51926017,0.34664726,0.51770544,0.52376485,0.48455650,0.50281018,0.52880454,0.39290458,0.49985683,0.44484249,0.31816226
000005:Guitar,0.57733786,0.56650162,0.70396483,0.63132727,0.47514334,1.00000000,0.55604059,0.58217824,0.48080099,0.67836374,0.48404190,0.73572850,0.68129176,0.58002132,0.63311958,0.73306328,0.42526665,0.59351981,0.55225718,0.37075132
000006:Harp,0.49009451,0.49493584,0.55116987,0.52204311,0.54668689,0.55604059,1.00000000,0.69280696,0.54754406,0.50964564,0.45555165,0.54463118,0.55322087,0.49611044,0.58278698,0.54535991,0.46028081,0.51978076,0.52684414,0.35961312
000007:Harpsichord,0.54556906,0.52293581,0.56649703,0.49032432,0.52444690,0.58217824,0.69280696,1.00000024,0.52710027,0.53600240,0.41630626,0.56722355,0.60086900,0.52317595,0.57992727,0.58579874,0.44362742,0.51143634,0.60045677,0.39899692
000008:Harmonica,0.47269350,0.42420921,0.52641159,0.45897466,0.48710039,0.48080099,0.54754406,0.52710027,1.00000024,0.49511471,0.41470748,0.55771863,0.51480335,0.53897887,0.47714132,0.55557978,0.47362667,0.44878751,0.54954338,0.49523187
000009:Musical keyboard,0.57781577,0.53265744,0.62082946,0.59813333,0.51926017,0.67836374,0.50964564,0.53600240,0.49511471,1.00000012,0.42645299,0.71368879,0.59064150,0.50722778,0.59426749,0.66612101,0.41850007,0.57452202,0.51880372,0.33335769
000010:Oboe,0.36300668,0.50826114,0.52298295,0.47911459,0.34664726,0.48404190,0.45555165,0.41630626,0.41470748,0.42645299,0.99999988,0.49981084,0.49817145,0.50947821,0.45603025,0.49664685,0.48483461,0.47517464,0.44779408,0.34907827
000011:Piano,0.60002542,0.62705088,0.75462675,0.64534086,0.51770544,0.73572850,0.54463118,0.56722355,0.55771863,0.71368879,0.49981084,1.00000024,0.72211939,0.60509890,0.63139355,0.75732219,0.46497121,0.60735226,0.55837393,0.34782583
000012:Saxophone,0.58645946,0.60435575,0.73295224,0.55708742,0.52376485,0.68129176,0.55322087,0.60086900,0.51480335,0.59064150,0.49817145,0.72211939,1.00000000,0.60902429,0.61362052,0.72493321,0.42342082,0.59639412,0.53733569,0.39253032
000013:Trombone,0.52444029,0.54777598,0.60792625,0.59115058,0.48455650,0.58002132,0.49611044,0.52317595,0.53897887,0.50722778,0.50947821,0.60509890,0.60902429,1.00000012,0.58836764,0.60375512,0.47832119,0.60075736,0.54440033,0.38004780
000014:Trumpet,0.52114737,0.50157177,0.58578235,0.62192130,0.50281018,0.63311958,0.58278698,0.57992727,0.47714132,0.59426749,0.45603025,0.63139355,0.61362052,0.58836764,0.99999988,0.65528095,0.48909909,0.62697744,0.52364564,0.39870489
000015:Violin,0.62861085,0.58150160,0.76421040,0.60047090,0.52880454,0.73306328,0.54535991,0.58579874,0.55557978,0.66612101,0.49664685,0.75732219,0.72493321,0.60375512,0.65528095,1.00000000,0.45356774,0.67817652,0.56810939,0.38227457
000016:Chime,0.34782040,0.39210820,0.47702214,0.46888638,0.39290458,0.42526665,0.46028081,0.44362742,0.47362667,0.41850007,0.48483461,0.46497121,0.42342082,0.47832119,0.48909909,0.45356774,1.00000000,0.51846284,0.40916973,0.35754955
000017:Flute,0.49653286,0.55852264,0.61744463,0.62384146,0.49985683,0.59351981,0.51978076,0.51143634,0.44878751,0.57452202,0.47517464,0.60735226,0.59639412,0.60075736,0.62697744,0.67817652,0.51846284,1.00000000,0.49841404,0.36649191
000018:Accordion,0.49601513,0.50841814,0.55172789,0.48704165,0.44484249,0.55225718,0.52684414,0.60045677,0.54954338,0.51880372,0.44779408,0.55837393,0.53733569,0.54440033,0.52364564,0.56810939,0.40916973,0.49841404,1.00000024,0.32943344
000019:Maraca,0.29298595,0.37421912,0.40665859,0.37423813,0.31816223,0.37075132,0.35961309,0.39899689,0.49523187,0.33335769,0.34907827,0.34782583,0.39253032,0.38004777,0.39870489,0.38227457,0.35754955,0.36649191,0.32943344,1.00000000
