CategoryLabelName,CategoryTextName,LabelName,TextName,Top1Name,Top1Cosine
/m/0138tl,Toy,/m/0167gd,Doll,Balloon,0.5293357372283936
/m/0138tl,Toy,/m/01j51,Balloon,Flying disc,0.5340421199798584
/m/0138tl,Toy,/m/029b3,Dice,Kite,0.4908313751220703
/m/0138tl,Toy,/m/02wmf,Flying disc,Balloon,0.5340421199798584
/m/0138tl,Toy,/m/02zt3,Kite,Dice,0.4908313751220703
/m/0138tl,Toy,/m/0kmg4,Teddy bear,Doll,0.49923038482666016
/m/019dx1,Home appliance,/m/0174k2,Washing machine,Sewing machine,0.8303817510604858
/m/019dx1,Home appliance,/m/01k6s3,Toaster,Heater,0.644699215888977
/m/019dx1,Home appliance,/m/029bxz,Oven,Microwave oven,0.7264291048049927
/m/019dx1,Home appliance,/m/02pjr4,Blender,Mixer,0.6959435343742371
/m/019dx1,Home appliance,/m/02wv84t,Gas stove,Wood-burning stove,0.7903972864151001
/m/019dx1,Home appliance,/m/02x984l,Mechanical fan,Ceiling fan,0.771260142326355
/m/019dx1,Home appliance,/m/03qhv5,Heater,Mixer,0.7002164125442505
/m/019dx1,Home appliance,/m/03s_tn,Kettle,Heater,0.6554902791976929
/m/019dx1,Home appliance,/m/03wvsk,Hair dryer,Hand dryer,0.8417825102806091
/m/019dx1,Home appliance,/m/040b_t,Refrigerator,Heater,0.6893760561943054
/m/019dx1,Home appliance,/m/04169hn,Wood-burning stove,Gas stove,0.7903972864151001
/m/019dx1,Home appliance,/m/04lvq_,Humidifier,Heater,0.6361083984375
/m/019dx1,Home appliance,/m/063rgb,Mixer,Heater,0.7002164125442505
/m/019dx1,Home appliance,/m/07xyvk,Coffeemaker,Mixer,0.595204770565033
/m/019dx1,Home appliance,/m/0fx9l,Microwave oven,Oven,0.7264291048049927
/m/019dx1,Home appliance,/m/0ky7b,Dishwasher,Washing machine,0.7974499464035034
/m/019dx1,Home appliance,/m/0llzx,Sewing machine,Washing machine,0.8303817510604858
/m/019dx1,Home appliance,/m/0c3m8g,Hand dryer,Hair dryer,0.8417825102806091
/m/019dx1,Home appliance,/m/03ldnb,Ceiling fan,Mechanical fan,0.7712600827217102
/m/02pkr5,Plumbing fixture,/m/0130jx,Sink,Shower,0.5807799100875854
/m/02pkr5,Plumbing fixture,/m/01vbnl,Bidet,Bathtub,0.691327691078186
/m/02pkr5,Plumbing fixture,/m/02f9f_,Shower,Bathtub,0.6390394568443298
/m/02pkr5,Plumbing fixture,/m/02jz0l,Tap,Toilet,0.5564484596252441
